name,strasse,link,lat,long
Lydia Nagel,Martin-Luther-Str. 10,http://www.stolpersteine-cannstatt.de/node/122,48.8068011,9.223053799999999
Alfred Neu,Wörishofener Straße 33,http://www.stolpersteine-cannstatt.de/node/94,48.8006106,9.228390899999999
Margarete Neuberg,Libanonstr. 92,,48.77861,9.205499999999999
Margarethe Neuberg,Stöckachstr. 1,http://www.stolpersteine-stuttgart.de/index.php?docid=802&mid=66,48.7895796,9.1975724
Hedwig Neuhäuser,Rosenbergstr.  149,http://www.stolpersteine-stuttgart.de/index.php?docid=702&mid=66,48.7760227,9.149000599999999
Meta Neumann,Hackländerstr. 29,http://www.stolpersteine-stuttgart.de/index.php?docid=134&mid=66,48.77493,9.19741
Nathan Neumann,Hackstr. 7,http://www.stolpersteine-stuttgart.de/index.php?docid=242&mid=66,48.7894702,9.198758699999999
Rosine Nieden,Besigheimer Str. 33,http://www.stolpersteine-stuttgart.de/index.php?docid=780&mid=66,48.83342820000001,9.1722392
Julius Noppel,Kirchtalstr. 6,,48.83291759999999,9.1698863
Helene Nördlinger,Hölderlinstr. 7,http://www.stolpersteine-stuttgart.de/index.php?docid=413&mid=66,48.7848851,9.1645839
Helene Odenheimer,Stitzenburgstr. 5B,http://www.stolpersteine-stuttgart.de/index.php?docid=615&mid=66,48.77059999999999,9.18535
Ludwig Odenheimer,Stitzenburgstr. 5B,http://www.stolpersteine-stuttgart.de/index.php?docid=615&mid=66,48.77059999999999,9.18535
Antonie Oesterreicher,Birkenwaldstr. 105,http://www.stolpersteine-stuttgart.de/index.php?docid=876&mid=66,48.790018,9.1724026
Paul Oesterreicher,Birkenwaldstr.  105,http://www.stolpersteine-stuttgart.de/index.php?docid=876&mid=66,48.790018,9.1724026
Franziska Oppenheim,Dillmannstr. 19,,48.7846637,9.1585422
Ignatz Oppenheim,Eberhardstr. 2,http://www.stolpersteine-stuttgart.de/index.php?docid=654&mid=66,48.77439890000001,9.1793022
Lothar Oppenheim,Eberhardstr. 2,http://www.stolpersteine-stuttgart.de/index.php?docid=654&mid=66,48.77439890000001,9.1793022
Melanie Oppenheim,Eberhardstr. 2,http://www.stolpersteine-stuttgart.de/index.php?docid=654&mid=66,48.77439890000001,9.1793022
Emilie Oppenheimer,Daimlerstr. 56,http://www.stolpersteine-cannstatt.de/node/114,48.8029146,9.219509799999999
Karl Oppenheimer,Daimlerstr. 56,http://www.stolpersteine-cannstatt.de/node/114,48.8029146,9.219509799999999
Meta Oppenheimer,Libanonstr. 31,http://www.stolpersteine-stuttgart.de/index.php?docid=546&mid=66,48.77947,9.19953
Moses Oppenheimer,Griesinger Weg 9,http://www.stolpersteine-stuttgart.de/index.php?docid=547&mid=66,48.79092,9.21213
Henriette Hilda Ostertag,Relenbergstr. 74,http://www.stolpersteine-stuttgart.de/index.php?docid=822&mid=66,48.78731,9.16376
Irma Ostertag,Lange Str. 53,http://www.stolpersteine-stuttgart.de/index.php?docid=531&mid=66,48.78642439999999,9.3378613
Lore Ostertag,Lange Str. 53,http://www.stolpersteine-stuttgart.de/index.php?docid=531&mid=66,48.78642439999999,9.3378613
Henriette Ottenheimer,Rosenstr. 35,http://www.stolpersteine-stuttgart.de/index.php?docid=709&mid=66,48.77424,9.184339999999999
Josef Ottenheimer,Danneckerstr. 12,http://www.stolpersteine-stuttgart.de/index.php?docid=618&mid=66,48.77217,9.18587
Mina Ottenheimer,Danneckerstr. 12,http://www.stolpersteine-stuttgart.de/index.php?docid=618&mid=66,48.77217,9.18587
